Collab,Article,laureate
thomas f cooley,what might the soviet union learn from the oecd countries in economics and politics ? an article from 1991 with some comments from 2005,jan tinbergen
thomas colignatus,what might the soviet union learn from the oecd countries in economics and politics ? an article from 1991 with some comments from 2005,jan tinbergen
paul batenburg,income distribution: a correction and a generalization,jan tinbergen
thomas reiner,besprechungen — comptes rendus — reviews,jan tinbergen
shigeo minabe,besprechungen — comptes rendus — reviews,jan tinbergen
jandhyala g tilak,besprechungen — comptes rendus — reviews,jan tinbergen
dieter bullinger,besprechungen — comptes rendus — reviews,jan tinbergen
david e r gay,besprechungen — comptes rendus — reviews,jan tinbergen
bruno frey,besprechungen — comptes rendus — reviews,jan tinbergen
eckard wegner,besprechungen — comptes rendus — reviews,jan tinbergen
terry l anderson,besprechungen — comptes rendus — reviews,jan tinbergen
martin wechsler,besprechungen — comptes rendus — reviews,jan tinbergen
heinz d kurz,besprechungen — comptes rendus — reviews,jan tinbergen
erwin w heri,besprechungen — comptes rendus — reviews,jan tinbergen
jan‐fer,besprechungen — comptes rendus — reviews,jan tinbergen
eckard wegner,zu einem makroökonomischen modell der einkommensbildung,jan tinbergen
william barnett,"inside the economist's mind: the history of modern economic thought, as explained by those who produced it",paul samuelson
e weintraub,"inside the economist's mind: the history of modern economic thought, as explained by those who produced it",paul samuelson
william barnett,an interview with paul a samuelson,paul samuelson
r dornbusch,"comparative advantage, trade and payments in a ricardian model with a continuum of goods",paul samuelson
f fisher,"comparative advantage, trade and payments in a ricardian model with a continuum of goods",paul samuelson
tony atkinson,commemorating richard musgrave (1910-2007),paul samuelson
sijbren cnossen,commemorating richard musgrave (1910-2007),paul samuelson
helen ladd,commemorating richard musgrave (1910-2007),paul samuelson
peter mieszkowski,commemorating richard musgrave (1910-2007),paul samuelson
pierre pestieau,commemorating richard musgrave (1910-2007),paul samuelson
attiat ott,a tribute to richard abel musgrave,paul samuelson
robert m solow,a tribute to richard abel musgrave,paul samuelson
henry aaron,a tribute to richard abel musgrave,paul samuelson
martin s feldstein,a tribute to richard abel musgrave,paul samuelson
oliver oldman,a tribute to richard abel musgrave,paul samuelson
erkko etula,two alternative hypothetical “lost” 1814 ricardo manuscripts: new-century bearings,paul samuelson
marshall goldman,testimonials,paul samuelson
jeffrey sachs,testimonials,paul samuelson
martin weitzman,testimonials,paul samuelson
max corden,"harry g johnson (1923–1977): scholar, mentor, editor, and relentless world traveler",paul samuelson
james duesenberry,"harry g johnson (1923–1977): scholar, mentor, editor, and relentless world traveler",paul samuelson
craufurd goodwin,"harry g johnson (1923–1977): scholar, mentor, editor, and relentless world traveler",paul samuelson
j keynes,"harry g johnson (1923–1977): scholar, mentor, editor, and relentless world traveler",paul samuelson
richard lipsey,"harry g johnson (1923–1977): scholar, mentor, editor, and relentless world traveler",paul samuelson
gideon rosenbluth,"harry g johnson (1923–1977): scholar, mentor, editor, and relentless world traveler",paul samuelson
elizabeth simpson,"harry g johnson (1923–1977): scholar, mentor, editor, and relentless world traveler",paul samuelson
robert wilson,speeches by nobel laureates,paul samuelson
harold w mcgraw,samuelson's economics at fifty: remarks on the occasion of the anniversary of publication,paul samuelson
william nordhaus,samuelson's economics at fifty: remarks on the occasion of the anniversary of publication,paul samuelson
orley c ashenfelter,samuelson's economics at fifty: remarks on the occasion of the anniversary of publication,paul samuelson
robert m solow,samuelson's economics at fifty: remarks on the occasion of the anniversary of publication,paul samuelson
stanley fischer,samuelson's economics at fifty: remarks on the occasion of the anniversary of publication,paul samuelson
mancur olson,remin1nscences of dudley dillard,paul samuelson
lawrence klein,remin1nscences of dudley dillard,paul samuelson
robert m solow,remin1nscences of dudley dillard,paul samuelson
james robins,remin1nscences of dudley dillard,paul samuelson
haim levy,the capital asset pricing model with diverse holding periods,paul samuelson
rudiger dornbusch,heckscher-ohlin trade theory with a continuum of goods,paul samuelson
stanley fischer,heckscher-ohlin trade theory with a continuum of goods,paul samuelson
otto eckstein,toward a democratic economic policy,paul samuelson
walter heller,toward a democratic economic policy,paul samuelson
leon keyserling,toward a democratic economic policy,paul samuelson
arthur doud,toward a democratic economic policy,paul samuelson
charles schultze,toward a democratic economic policy,paul samuelson
james robins,toward a democratic economic policy,paul samuelson
f modigliani,the pasinetti paradox in neoclassical and more general models,paul samuelson
david levhari,the nonswitching theorem is false,paul samuelson
f modigliani,marginal productivity and the macroeconomic theories of distribution: reply to pasinetti and robinson,paul samuelson
robert m solow,a complete capital model involving heterogeneous capital goods,paul samuelson
c holt,the graphic depiction of elasticity of demand,paul samuelson
wolfgang stolper,protection and real wages,paul samuelson
samuel hollander,mr ricardo and the moderns,john hicks
